date,store_nbr,transaction_aug
2013-01-01,25,815
2013-01-02,1,440
2013-01-02,2,995
2013-01-02,3,850
2013-01-02,4,289
2013-01-02,5,85
2013-01-02,6,984
2013-01-02,7,547
2013-01-02,8,777
2013-01-02,9,479
2013-01-02,10,32
2013-01-02,11,289
2013-01-02,12,296
2013-01-02,13,546
2013-01-02,14,592
2013-01-02,15,682
2013-01-02,16,364
2013-01-02,17,949
2013-01-02,18,842
2013-01-02,19,454
2013-01-02,23,628
2013-01-02,24,442
2013-01-02,25,910
2013-01-02,26,973
2013-01-02,27,122
2013-01-02,28,171
2013-01-02,30,284
2013-01-02,31,690
2013-01-02,32,254
2013-01-02,33,553
2013-01-02,34,41
2013-01-02,35,953
2013-01-02,37,699
2013-01-02,38,472
2013-01-02,39,750
2013-01-02,40,727
2013-01-02,41,388
2013-01-02,43,799
2013-01-02,44,631
2013-01-02,45,731
2013-01-02,46,816
2013-01-02,47,43
2013-01-02,48,729
2013-01-02,49,232
2013-01-02,50,939
2013-01-02,51,703
2013-01-02,54,603
2013-01-03,1,549
2013-01-03,2,868
2013-01-03,3,686
2013-01-03,4,589
2013-01-03,5,844
2013-01-03,6,573
2013-01-03,7,842
2013-01-03,8,534
2013-01-03,9,194
2013-01-03,10,798
2013-01-03,11,881
2013-01-03,12,993
2013-01-03,13,270
2013-01-03,14,351
2013-01-03,15,708
2013-01-03,16,690
2013-01-03,17,596
2013-01-03,18,668
2013-01-03,19,981
2013-01-03,23,727
2013-01-03,24,258
2013-01-03,25,804
2013-01-03,26,292
2013-01-03,27,315
2013-01-03,28,876
2013-01-03,30,986
2013-01-03,31,972
2013-01-03,32,7
2013-01-03,33,910
2013-01-03,34,222
2013-01-03,35,885
2013-01-03,37,936
2013-01-03,38,134
2013-01-03,39,679
2013-01-03,40,377
2013-01-03,41,461
2013-01-03,43,615
2013-01-03,44,308
2013-01-03,45,820
2013-01-03,46,957
2013-01-03,47,784
2013-01-03,48,401
2013-01-03,49,752
2013-01-03,50,707
2013-01-03,51,255
2013-01-03,54,216
2013-01-04,1,803
2013-01-04,2,742
2013-01-04,3,141
2013-01-04,4,807
2013-01-04,5,869
2013-01-04,6,381
2013-01-04,7,638
2013-01-04,8,32
2013-01-04,9,391
2013-01-04,10,551
2013-01-04,11,376
2013-01-04,12,807
2013-01-04,13,304
2013-01-04,14,450
2013-01-04,15,752
2013-01-04,16,30
2013-01-04,17,434
2013-01-04,18,519
2013-01-04,19,561
2013-01-04,23,296
2013-01-04,24,887
2013-01-04,25,973
2013-01-04,26,422
2013-01-04,27,777
2013-01-04,28,477
2013-01-04,30,841
2013-01-04,31,329
2013-01-04,32,660
2013-01-04,33,735
2013-01-04,34,445
2013-01-04,35,433
2013-01-04,37,355
2013-01-04,38,739
2013-01-04,39,318
2013-01-04,40,734
2013-01-04,41,852
2013-01-04,43,182
2013-01-04,44,499
2013-01-04,45,974
2013-01-04,46,880
2013-01-04,47,5
2013-01-04,48,852
2013-01-04,49,41
2013-01-04,50,215
2013-01-04,51,666
2013-01-04,54,241
2013-01-05,1,528
2013-01-05,2,451
2013-01-05,3,829
2013-01-05,4,612
2013-01-05,5,389
2013-01-05,6,398
2013-01-05,7,720
2013-01-05,8,921
2013-01-05,9,1
2013-01-05,10,383
2013-01-05,11,437
2013-01-05,12,874
2013-01-05,13,592
2013-01-05,14,309
2013-01-05,15,935
2013-01-05,16,783
2013-01-05,17,195
2013-01-05,18,294
2013-01-05,19,222
2013-01-05,23,614
2013-01-05,24,643
2013-01-05,25,797
2013-01-05,26,63
2013-01-05,27,511
2013-01-05,28,50
2013-01-05,30,944
2013-01-05,31,496
2013-01-05,32,698
2013-01-05,33,227
2013-01-05,34,754
2013-01-05,35,438
2013-01-05,37,130
2013-01-05,38,541
2013-01-05,39,955
2013-01-05,40,606
2013-01-05,41,285
2013-01-05,43,940
2013-01-05,44,240
2013-01-05,45,889
2013-01-05,46,811
2013-01-05,47,91
2013-01-05,48,38
2013-01-05,49,912
2013-01-05,50,428
2013-01-05,51,1
2013-01-05,54,483
2013-01-06,1,106
2013-01-06,2,408
2013-01-06,3,800
2013-01-06,4,793
2013-01-06,5,588
2013-01-06,6,193
2013-01-06,7,266
2013-01-06,8,212
2013-01-06,9,251
2013-01-06,10,346
2013-01-06,11,775
2013-01-06,12,229
2013-01-06,13,256
2013-01-06,14,34
2013-01-06,15,671
2013-01-06,16,889
2013-01-06,17,818
2013-01-06,18,467
2013-01-06,19,908
2013-01-06,23,273
2013-01-06,24,759
2013-01-06,25,430
2013-01-06,26,212
2013-01-06,27,622
2013-01-06,28,478
2013-01-06,30,617
2013-01-06,31,139
2013-01-06,32,28
2013-01-06,33,280
2013-01-06,34,136
2013-01-06,35,573
2013-01-06,37,119
2013-01-06,38,13
2013-01-06,39,610
2013-01-06,40,655
2013-01-06,41,92
2013-01-06,43,545
2013-01-06,44,901
2013-01-06,45,181
2013-01-06,46,405
2013-01-06,47,761
2013-01-06,48,83
2013-01-06,49,908
2013-01-06,50,679
2013-01-06,51,440
2013-01-06,54,430
2013-01-07,1,13
2013-01-07,2,441
2013-01-07,3,830
2013-01-07,4,313
2013-01-07,5,295
2013-01-07,6,496
2013-01-07,7,874
2013-01-07,8,600
2013-01-07,9,753
2013-01-07,10,297
2013-01-07,11,997
2013-01-07,12,836
2013-01-07,13,745
2013-01-07,14,565
2013-01-07,15,930
2013-01-07,16,901
2013-01-07,17,591
2013-01-07,18,347
2013-01-07,19,224
2013-01-07,23,773
2013-01-07,24,588
2013-01-07,25,400
2013-01-07,26,88
2013-01-07,27,78
2013-01-07,28,86
2013-01-07,30,607
2013-01-07,31,145
2013-01-07,32,912
2013-01-07,33,735
2013-01-07,34,268
2013-01-07,35,981
2013-01-07,37,376
2013-01-07,38,959
2013-01-07,39,877
2013-01-07,40,437
2013-01-07,41,772
2013-01-07,43,39
2013-01-07,44,607
2013-01-07,45,237
2013-01-07,46,596
2013-01-07,47,393
2013-01-07,48,776
2013-01-07,49,601
2013-01-07,50,53
2013-01-07,51,792
2013-01-07,54,765
2013-01-08,1,652
2013-01-08,2,384
2013-01-08,3,875
2013-01-08,4,892
2013-01-08,5,576
2013-01-08,6,785
2013-01-08,7,962
